params_id,dataset,algorithm,f1,precision,recall,support,predicted,files,estimator,smoothing,period,s_w,p_w,half_d_w,q,delay,errors
S1PNA_SW10_Q0.008,Prometheus 27 指标,FluxEV,0.34365369454597583,0.27304823187745575,0.4635089415176414,10345,17561,27,MOM,1,,10,5,2,0.008,7,0
S1PNA_SW10_Q0.01,JMeter,FluxEV,0.47072313667468096,0.6183072587697989,0.38001672240802675,16744,10291,7,MOM,1,,10,5,2,0.01,7,0
S1PNA_SW10_Q0.01,Prometheus 27 指标,FluxEV,0.37042490534286915,0.2906100445569063,0.5106814886418559,10345,18179,27,MOM,1,,10,5,2,0.01,7,0
S1PNA_SW10_Q0.015,JMeter,FluxEV,0.48451916414426893,0.6221785145640161,0.3967391304347826,16744,10677,7,MOM,1,,10,5,2,0.015,7,0
S1PNA_SW10_Q0.015,Prometheus 27 指标,FluxEV,0.39023729731559526,0.3002708897687018,0.5571773803769937,10345,19196,27,MOM,1,,10,5,2,0.015,7,0
S1PNA_SW20_Q0.006,JMeter,FluxEV,0.4600455342813421,0.6132948552094736,0.3680721452460583,16744,10049,7,MOM,1,,20,5,2,0.006,7,0
S1PNA_SW20_Q0.006,Prometheus 27 指标,FluxEV,0.3738880816529043,0.2951544315129812,0.5099081681971968,10345,17872,27,MOM,1,,20,5,2,0.006,7,0
S1PNA_SW20_Q0.008,JMeter,FluxEV,0.48686283850635786,0.6299668089141773,0.3967391304347826,16744,10545,7,MOM,1,,20,5,2,0.008,7,0
S1PNA_SW20_Q0.008,Prometheus 27 指标,FluxEV,0.37223907981088145,0.2931044062899372,0.5099081681971968,10345,17997,27,MOM,1,,20,5,2,0.008,7,0
S1PNA_SW20_Q0.01,JMeter,FluxEV,0.48657754989928587,0.629012404128397,0.3967391304347826,16744,10561,7,MOM,1,,20,5,2,0.01,7,0
S1PNA_SW20_Q0.01,Prometheus 27 指标,FluxEV,0.38392204628501825,0.29994562262098967,0.5332044465925568,10345,18390,27,MOM,1,,20,5,2,0.01,7,0
S1PNA_SW20_Q0.015,JMeter,FluxEV,0.5446506894978771,0.6602296894938324,0.4635093167701863,16744,11755,7,MOM,1,,20,5,2,0.015,7,0
S1PNA_SW20_Q0.015,Prometheus 27 指标,FluxEV,0.40354826786734316,0.30928100535640707,0.5804736587723538,10345,19416,27,MOM,1,,20,5,2,0.015,7,0
S1PNA_SW30_Q0.006,JMeter,FluxEV,0.4870948819474996,0.6307443980250664,0.3967391304347826,16744,10532,7,MOM,1,,30,5,2,0.006,7,0
S1PNA_SW30_Q0.006,Prometheus 27 指标,FluxEV,0.3598742048459724,0.28547938991892047,0.48670855485741904,10345,17637,27,MOM,1,,30,5,2,0.006,7,0
S1PNA_SW30_Q0.008,JMeter,FluxEV,0.4869699080013195,0.6303254578233229,0.3967391304347826,16744,10539,7,MOM,1,,30,5,2,0.008,7,0
S1PNA_SW30_Q0.008,Prometheus 27 指标,FluxEV,0.3725067956366717,0.29340451562673786,0.5100048332527791,10345,17982,27,MOM,1,,30,5,2,0.008,7,0
S1PNA_SW30_Q0.01,JMeter,FluxEV,0.4998910596266976,0.637669075412266,0.41107262302914477,16744,10794,7,MOM,1,,30,5,2,0.01,7,0
S1PNA_SW30_Q0.01,Prometheus 27 指标,FluxEV,0.37044058276285763,0.2908489525909592,0.5100048332527791,10345,18140,27,MOM,1,,30,5,2,0.01,7,0
S1PNA_SW30_Q0.015,JMeter,FluxEV,0.5449375087768571,0.6610732538330494,0.4635093167701863,16744,11740,7,MOM,1,,30,5,2,0.015,7,0
S1PNA_SW30_Q0.015,Prometheus 27 指标,FluxEV,0.4032869361059869,0.3087827426810478,0.5811503141614306,10345,19470,27,MOM,1,,30,5,2,0.015,7,0
S2P60_SW3_Q0.002,JMeter,FluxEV,0.1761314186248912,0.9871951219512195,0.09669135212613474,16744,1640,7,MOM,2,60,3,5,2,0.002,7,0
S2P60_SW3_Q0.002,Prometheus 27 指标,FluxEV,0.4839082118631837,0.9544548818673498,0.32411793136781053,10345,3513,27,MOM,2,60,3,5,2,0.002,7,0
S2P60_SW3_Q0.0025,JMeter,FluxEV,0.18007163790296318,0.9863258026159334,0.09908026755852843,16744,1682,7,MOM,2,60,3,5,2,0.0025,7,0
S2P60_SW3_Q0.0025,Prometheus 27 指标,FluxEV,0.48241133731386227,0.9429133858267716,0.32411793136781053,10345,3556,27,MOM,2,60,3,5,2,0.0025,7,0
S2P60_SW3_Q0.003,JMeter,FluxEV,0.1840038988465912,0.9860708067324434,0.10146918299092213,16744,1723,7,MOM,2,60,3,5,2,0.003,7,0
S2P60_SW3_Q0.003,Prometheus 27 指标,FluxEV,0.5072351238794381,0.9400837257980115,0.3473175447075882,10345,3822,27,MOM,2,60,3,5,2,0.003,7,0
S2P60_SW3_Q0.0035,JMeter,FluxEV,0.20729099850331412,0.9872708757637475,0.11580267558528429,16744,1964,7,MOM,2,60,3,5,2,0.0035,7,0
S2P60_SW3_Q0.0035,Prometheus 27 指标,FluxEV,0.505806996550996,0.9303469704816157,0.3473175447075882,10345,3862,27,MOM,2,60,3,5,2,0.0035,7,0
S2P60_SW3_Q0.004,JMeter,FluxEV,0.22931953756004853,0.9877216916780355,0.12971810797897754,16744,2199,7,MOM,2,60,3,5,2,0.004,7,0
S2P60_SW3_Q0.004,Prometheus 27 指标,FluxEV,0.5292371418709009,0.9258454106280193,0.3705171580473659,10345,4140,27,MOM,2,60,3,5,2,0.004,7,0
S2P60_SW3_Q0.0045,JMeter,FluxEV,0.3431535862167436,0.8448558706351066,0.2153010033444816,16744,4267,7,MOM,2,60,3,5,2,0.0045,7,0
